epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,163.363,0.47148,0.52895,0.43886,0.96555,0.90448,0.82609,0.83554,0.72636,0.90448,0.82609,0.83554,0.76826,0.68132,1.63513,1.30226,0.86308,0.0014258,0.0014258,0.0014258
31,169.087,0.45157,0.49363,0.40803,0.96611,0.94449,0.78261,0.85015,0.73855,0.94449,0.78261,0.85015,0.74448,0.63722,1.86759,0.7531,0.85181,0.001406,0.001406,0.001406
32,174.672,0.50377,0.57374,0.45881,0.99954,0.94954,0.91304,0.8761,0.71595,0.94954,0.91304,0.87664,0.76066,0.63659,1.31637,0.77199,0.82412,0.0013862,0.0013862,0.0013862
33,180.163,0.46019,0.53142,0.44169,0.97946,0.95223,0.86681,0.87757,0.69719,0.95223,0.86681,0.87757,0.73063,0.78787,1.42434,0.81037,1.00982,0.0013664,0.0013664,0.0013664
34,185.723,0.45598,0.59977,0.44818,0.98355,0.81662,0.86957,0.87326,0.7224,0.81662,0.86957,0.87326,0.77384,0.75542,1.253,0.91808,0.85043,0.0013466,0.0013466,0.0013466
35,191.284,0.43929,0.5559,0.41841,0.95487,0.9037,0.82609,0.88384,0.73775,0.9037,0.82609,0.86536,0.70241,0.63311,1.87025,0.67598,0.8268,0.0013268,0.0013268,0.0013268
36,196.877,0.42542,0.4852,0.39082,0.98352,0.83891,0.90596,0.90476,0.7548,0.83891,0.90596,0.88608,0.79211,0.57179,1.55636,0.59084,0.8421,0.001307,0.001307,0.001307
37,202.421,0.44352,0.50908,0.40181,0.97831,0.93965,0.86957,0.91831,0.79407,0.93965,0.86957,0.91831,0.81636,0.60445,1.31226,0.62783,0.81128,0.0012872,0.0012872,0.0012872
38,208.079,0.43217,0.50868,0.38334,0.9556,0.82307,0.78261,0.85299,0.72046,0.87275,0.91304,0.89096,0.78203,0.74042,1.55899,0.91013,0.88878,0.0012674,0.0012674,0.0012674
39,213.686,0.41073,0.47837,0.36629,0.9428,0.94823,0.91304,0.88773,0.72696,0.94823,0.91304,0.88773,0.78777,0.65946,1.43334,0.78991,0.83463,0.0012476,0.0012476,0.0012476
40,219.421,0.43059,0.46084,0.36835,0.97576,0.94884,0.91304,0.89493,0.74729,0.94884,0.91304,0.8946,0.77917,0.71323,1.4509,0.67973,0.85442,0.0012278,0.0012278,0.0012278
41,225.005,0.41251,0.50038,0.36017,0.95503,0.95367,0.89548,0.90504,0.77252,0.95367,0.89548,0.90504,0.78576,0.64967,1.74473,0.67692,0.79356,0.001208,0.001208,0.001208
42,230.595,0.42961,0.47472,0.37551,0.95425,0.95431,0.90832,0.90685,0.78992,0.95431,0.90832,0.90685,0.79622,0.61855,1.64009,0.5998,0.82357,0.0011882,0.0011882,0.0011882
43,236.264,0.43391,0.48785,0.37572,0.94868,0.95186,0.91304,0.91432,0.76875,0.95186,0.91304,0.91432,0.78291,0.60354,1.50668,0.61836,0.83418,0.0011684,0.0011684,0.0011684
44,241.857,0.43076,0.51568,0.36289,0.9602,0.9519,0.91304,0.90217,0.77045,0.9519,0.91304,0.90217,0.79001,0.58678,1.54443,0.75667,0.82019,0.0011486,0.0011486,0.0011486
45,247.493,0.42156,0.49302,0.36246,0.9528,0.91381,0.86957,0.90064,0.72846,0.91381,0.86957,0.90064,0.76137,0.70999,1.57973,0.96701,0.90942,0.0011288,0.0011288,0.0011288
46,253.167,0.43051,0.49513,0.37368,0.94681,0.95213,0.86499,0.85379,0.72707,0.95213,0.86499,0.85379,0.76983,0.62806,1.15025,0.65268,0.83704,0.001109,0.001109,0.001109
47,258.891,0.40969,0.45356,0.34731,0.94965,0.94998,0.82569,0.86217,0.74596,0.94998,0.82569,0.86217,0.78251,0.5769,1.37124,0.67426,0.79457,0.0010892,0.0010892,0.0010892
